"AIC","timestep"
2298.55218364614,6
47.9486829687689,6
263.30766128786,6
1917.84672559005,6
1917.84672559005,6
3356.77667578119,6
19053.9755902292,6
4616.180939856,6
10279.9373216959,6
4189.02285670036,6
3587.32407008203,6
8428.51306906111,6
4640.32302782301,6
3158.37728116708,6
2962.01683252501,6
8738.29301198844,6
1244.45138956274,6
1719.34739512804,6
195.00520417733,6
11023.0959685469,6
308.137559741407,6
558.986554558812,6
10090.044874495,6
7527.68677183827,6
1458.97283574487,6
14627.7676747942,6
1924.37696825764,6
14083.4441129614,6
24555.3506490328,6
4809.7853731835,6
5705.51252177094,6
4276.57331056704,6
3051.4171867321,6
1514.4530654232,6
12507.7428785007,6
1351.4842007619,6
420.090323170683,6
420.090323170683,6
1024.42111348731,6
3962.80483292339,6
1324.63323846394,6
198.656552046876,6
8964.80169509802,6
4521.10733362503,6
1815.4606850685,6
709.827259775575,6
709.827259775575,6
296.220325375823,6
11748.4602443979,6
993.524587976706,6
855.985168319323,6
10120.7114795284,6
3490.65637954501,6
4286.13293507573,6
4560.56791467953,6
6493.48046157442,6
3209.80169013688,6
39.4830078265435,6
4180.58692691849,6
628.692944727613,6
4768.4323412088,6
6085.23398773469,6
876.48703445297,6
3432.14169200616,6
6519.33117660107,6
361.068776510075,6
4220.05246311496,6
143.629891317727,6
264.194324163795,6
1363.54591199038,6
5039.01601123107,6
176.331857919571,6
6498.98540057058,6
1744.26264343215,6
1744.26264343215,6
4906.35663182205,6
8081.40937268838,6
4744.29698244022,6
8170.39402411188,6
231.434515351265,6
2725.47025854259,6
4124.33623931387,6
1747.00379235102,6
940.621371981025,6
1889.54473775945,6
5392.02304915453,6
5404.76258752726,6
13932.0610874279,6
1040.82520690795,6
503.871531769257,6
7856.85024379399,6
18615.366400149,6
8903.01974455415,6
8117.18959297591,6
17661.9405550665,6
7352.11054689228,6
32338.1072346051,6
11.7165899949717,6
276.674476518939,6
304.079854038461,6
618.833587781421,6
1779.71341884698,6
29073.9560847075,6
19907.5927740097,6
522.125830069525,6
9878.2066143068,6
7927.22351694749,6
556.378865225314,6
1030.47629708106,6
2155.61447852197,6
7159.73042500713,6
14992.0893059738,6
27496.5885017486,6
22953.0571615749,6
1738.68199181482,6
38924.5791954911,6
32814.2707200223,6
580.618865281845,6
7392.13660233207,6
70503.8321678402,6
36954.4357656475,6
47094.9894675485,6
3938.02097556075,6
6715.31248245312,6
2766.9030290766,6
79998.0794224743,6
2369.09980369888,6
224.343522936647,6
1444.25078323187,6
73199.258414004,6
629.719410092125,6
23683.674644709,6
23838.3861236887,6
10587.4311724395,6
11261.9694613349,6
49753.3845229541,6
5262.58600361022,6
19130.0084661517,6
13690.7124933581,6
28237.0242683069,6
15675.1682319622,6
20321.1431680392,6
7570.28323054025,6
3072.46921498506,6
3152.66506426992,6
3336.51224546997,6
3506.20171508144,6
3497.15717012442,6
23998.7890100007,6
15039.1959589356,6
-11.7106201787276,6
Inf,6
22.6731047739746,6
182.422033510284,6
-1.12162919911148,6
115.563450670895,6
167.190831640281,6
21.6616957494704,6
191.021821073373,6
Inf,6
Inf,6
Inf,6
Inf,6
25.7347754750736,6
2605.70177215645,6
1349.88328632039,6
2311.1845221526,6
6109.83004789266,6
10022.7941208943,6
43336.5122128678,6
43336.5122128678,6
193.785624418962,6
15907.984018524,6
895.631064188526,6
5796.47840396495,6
504.358727496799,6
11857.8034233175,6
25289.5543098364,6
22674.2461995283,6
23350.7760807655,6
37101.9708995065,6
37101.9708995065,6
2466.09108888094,6
51302.1475554031,6
13935.3813110981,6
1897.66723093865,6
6092.6936603437,6
31626.7628888989,6
61.6548941123996,6
59.0283472745976,6
1618.97272337391,6
27710.0098595308,6
228.299122424257,6
25471.5739325071,6
17804.8746586116,6
10572.2815366056,6
36801.3051836981,6
33122.2102444091,6
346.544459587705,6
259.115282338188,6
21864.3835389423,6
23879.8107010918,6
33375.3821247541,6
17445.9985890149,6
2119.96180561475,6
2293.6336841872,6
5534.58607191497,6
35312.1963833695,6
17.2036954283024,6
564.562535397857,6
8279.27807192241,6
1451.65656391288,6
Inf,6
296.970480982547,6
16289.2304428349,6
33214.8805232837,6
7496.20855989762,6
26855.8101522694,6
26855.8101522694,6
21251.3910839385,6
29018.2854859686,6
6479.01475125388,6
10863.3055879692,6
32660.0762591873,6
6023.53821737008,6
3486.95290855413,6
4908.25950793443,6
4921.32373830004,6
4325.20702811828,6
4034.32484779726,6
4080.84430716768,6
3918.91555852845,6
1826.81405581389,6
1695.05860358434,6
1694.56975657415,6
4983.27072165514,6
2565.41100642089,6
2514.37814790914,6
1353.96750050711,6
3826.09576353225,6
2328.50089994819,6
4491.12032415875,6
4331.9971019095,6
3341.10310523885,6
264.458308529241,6
18.0729396417284,6
14573.6333382624,6
6737.45272888257,6
2182.57130423257,6
3311.39012199483,6
3600.88402281069,6
1217.3947161162,6
2809.56148517973,6
6293.61893708295,6
209.422675438534,6
51.3837484016472,6
5333.77990744187,6
5333.77990744187,6
211.944259661998,6
243.653234022321,6
243.653234022321,6
243.653234022321,6
243.653234022321,6
3968.75887915415,6
3968.75887915415,6
3968.75887915415,6
3968.75887915415,6
344.405076905476,6
4887.18848577426,6
224.669743215987,6
3301.69306266878,6
3249.50506321072,6
3765.43269355113,6
1036.38726910742,6
14638.2263953289,6
1924.44204823821,6
557.433051705928,6
9113.99712848274,6
104.187949446132,6
3723.31306910147,6
16633.1006085752,6
16633.1006085752,6
172.941320340118,6
515.676813431227,6
16584.0303312061,6
463.403583292566,6
360.515301455491,6
3875.30575697749,6
54262.0084795524,6
36682.4654269609,6
21914.0435621047,6
37446.652138319,6
44248.1743439261,6
35656.6625770867,6
41113.2710970842,6
274.000054998255,6
20526.3151057687,6
720.664180166562,6
11418.096918396,6
11418.096918396,6
3478.63116843754,6
6086.31161872271,6
16429.0565737703,6
33.5278060416347,6
547.817512450455,6
15.0334352040647,6
31.6137406113592,6
3310.00219992636,6
2021.69917986996,6
504.02642904526,6
3504.40312823401,6
626.768478915477,6
Inf,6
485.118465276752,6
211.090156412162,6
470.803291377321,6
28.029627655893,6
28.029627655893,6
277.617341951237,6
250.638576395414,6
12.4731804534136,6
8374.29568439212,6
577.936635982655,6
33.6174477801986,6
33.6174477801986,6
25.1629966617213,6
25.1629966617213,6
38.6742310459933,6
235.252228545032,6
196.479146346404,6
1833.57813989744,6
169.941694635784,6
153.308135834336,6
Inf,6
Inf,6
165.172265929994,6
Inf,6
2602.3340941009,6
-11.7323062673025,6
-12.0600048616356,6
8.00826006078599,6
Inf,6
Inf,6
4.04033571536606,6
-26.3939417656129,6
13.5981564339814,6
14.9399567161289,6
20.352343586615,6
463.839193724331,6
748.469117953686,6
6.06425306844467,6
6.06425306844467,6
1.74239769338297,6
193.370578586639,6
830.073401012373,6
432.565401814006,6
71.6507514400822,6
244.672375211054,6
244.672375211054,6
283.79188953915,6
38.9777640388407,6
213.370042662131,6
213.370042662131,6
220.498744142169,6
197.958737225715,6
197.958737225715,6
11.3359927351409,6
764.328291572729,6
751.425347344912,6
-8.8367577856416,6
-2.00501720552964,6
-6.9124331787236,6
-6.9124331787236,6
220.382366313193,6
195.706618106016,6
14.1312846672688,6
305.863578670084,6
-1.91540775102411,6
518.097965805175,6
518.097965805175,6
518.097965805175,6
508.500035842875,6
1508.33308101267,6
1018.51118430435,6
841.052153506763,6
169.161298604691,6
169.161298604691,6
197.824931768843,6
47.7760694824118,6
1036.98268582916,6
255.697310185039,6
255.697310185039,6
185.353791309124,6
185.353791309124,6
185.353791309124,6
20.8732014988462,6
1134.03073646768,6
3639.35993955382,6
2870.77657224989,6
3682.7778040081,6
4096.98313708309,6
3659.39217015436,6
3452.16580948726,6
1224.96052471647,6
492.350818963234,6
492.350818963234,6
230.437025973289,6
2823.7749828697,6
1272.8398261567,6
363.242843027383,6
210.363027351679,6
194.009387072886,6
3304.13407838063,6
1179.5362549696,6
3333.06154484654,6
7.01579726946679,6
698.289847260246,6
279.697496459675,6
1756.02832816239,6
167.408726549786,6
412.230778992967,6
13.9129227328469,6
324.321385217452,6
610.653442135194,6
6280.78409103634,6
23.25512486939,6
3542.66973267847,6
3437.05280978994,6
-36.6101199692932,6
9478.43767986858,6
248.551585161657,6
665.632256078271,6
403.124193726439,6
403.124193726439,6
23.4328037579254,6
997.093753725457,6
1865.5605666611,6
4385.10301481102,6
202.490477893255,6
446.638456709561,6
456.389334026162,6
1799.70658602017,6
549.359165218336,6
1103.78702250404,6
712.795738021523,6
606.72863404489,6
1494.79759063062,6
1245.29351758215,6
3041.72944670588,6
3614.61850463384,6
459.044425890998,6
29.0508491354868,6
29.0508491354868,6
2782.83915980422,6
661.473458968892,6
214.734989776517,6
14.184283171051,6
173.745828918326,6
1203.39125551337,6
1350.07151797185,6
859.352785675115,6
1139.74063131968,6
4579.36780473379,6
4746.74669287327,6
18033.733183117,6
25.8738467485007,6
231.435528845065,6
35928.9702910117,6
1468.35719334006,6
2334.94771721668,6
-5.93359299813071,6
1796.31506061605,6
641.2871719751,6
2125.1973003688,6
1079.50427832695,6
7241.24282043048,6
2132.78255828811,6
5.93961840598915,6
Inf,6
8107.92252833683,6
141.087148824806,6
3136.44128814227,6
4180.12116784068,6
683.824641574446,6
280.89181698577,6
494.199679883536,6
4208.74110130372,6
681.498384772224,6
25.519787353762,6
1908.2025384511,6
3316.330120563,6
2469.75842996662,6
187.329890715597,6
11599.2604118011,6
4812.86998224318,6
2190.88048226241,6
5787.82591633941,6
1271.94768659751,6
3145.83539479868,6
314.318837537802,6
29581.756030462,6
3934.89117227142,6
2509.49573761051,6
25654.0695594646,6
5468.72532419977,6
4253.18376761073,6
7494.72845811202,6
7032.97605905814,6
30809.7838447384,6
3585.93264844139,6
7139.54702723141,6
2882.37404458826,6
14891.8827575381,6
37367.9648507461,6
21843.0829773719,6
2752.87747380097,6
2432.53015100525,6
5470.21885517084,6
6925.6699725456,6
6399.73979684439,6
11649.3825843805,6
7772.74770707393,6
7274.08070529911,6
1520.729749969,6
1520.729749969,6
901.581956536509,6
11843.6792637919,6
18658.2085864979,6
10408.955206398,6
34164.1400924304,6
2896.95839409921,6
766.81026112365,6
12077.5313241847,6
5528.25796137241,6
